79.6301,'W',released,OTHPYR
79.8149,Key.shift,released,OTHPYR
80.2339,'a',pressed,OTHPYR
80.2481,Mouse.left,pressed
80.3689,'a',released,OTHPYR
80.8109,'w',released,OTHPYR
80.8161,Mouse.left,released
81.0101,'w',pressed,OTHPYR
81.0622,Mouse.left,pressed
81.1101,'w',released,OTHPYR
81.5101,Mouse.left,released
81.9661,Mouse.left,pressed
82.1221,Mouse.left,released
82.2461,'s',pressed,OTHPYR
82.4329,'s',released,OTHPYR
82.7740,Mouse.left,pressed
82.9162,Mouse.left,released
83.3740,'w',pressed,OTHPYR
83.8333,'w',released,OTHPYR
84.6179,'s',pressed,OTHPYR
84.7415,'s',released,OTHPYR
85.1699,'d',released,OTHPYR
85.3553,'s',pressed,OTHPYR
85.6301,'d',pressed,OTHPYR
85.6589,'s',released,OTHPYR
85.9049,Key.shift,pressed,OTHPYR
86.1830,'W',pressed,OTHPYR
86.2749,'D',released,OTHPYR
86.7809,'W',released,OTHPYR
86.8119,'A',pressed,OTHPYR
87.0599,'A',released,OTHPYR
87.3199,'W',pressed,OTHPYR
87.4919,'A',pressed,OTHPYR
87.6431,'A',released,OTHPYR
87.9269,'D',pressed,OTHPYR
88.2581,'W',released,OTHPYR
88.5019,Key.shift,released,OTHPYR
88.6162,'d',released,OTHPYR
88.6870,'w',pressed,OTHPYR
88.9462,'w',released,OTHPYR
89.3792,Mouse.left,pressed
89.5781,Mouse.left,released
89.5785,'s',pressed,OTHPYR
89.7464,'d',pressed,OTHPYR
89.8719,'s',released,OTHPYR
90.1721,'s',pressed,OTHPYR
90.2059,'d',released,OTHPYR
90.5289,'s',released,OTHPYR
91.2569,'d',pressed,OTHPYR
91.6716,'d',released,OTHPYR
92.1595,'d',pressed,OTHPYR
92.3482,'w',pressed,OTHPYR
92.3490,'d',released,OTHPYR
92.6498,'w',released,OTHPYR
92.7239,'a',pressed,OTHPYR
92.9986,'w',pressed,OTHPYR
93.0619,'a',released,OTHPYR
93.1549,'d',pressed,OTHPYR
93.1761,Mouse.left,pressed
