18.9448,0523,0347,left,released
19.3050,0521,0347,None,None
19.3130,0521,0348,None,None
19.3210,0519,0350,None,None
19.3250,0518,0351,None,None
19.3330,0518,0353,None,None
19.3410,0517,0357,None,None
19.3449,0517,0358,None,None
19.3529,0516,0359,None,None
19.3609,0516,0362,None,None
19.3690,0516,0366,None,None
19.3709,0516,0367,None,None
19.3789,0516,0368,None,None
19.3870,0516,0371,None,None
19.3909,0517,0372,None,None
19.3990,0518,0374,None,None
19.4070,0520,0377,None,None
19.4089,0523,0380,None,None
19.4170,0526,0383,None,None
19.4251,0530,0388,None,None
19.4281,0531,0389,None,None
19.4360,0533,0390,None,None
19.4439,0537,0393,None,None
19.4459,0538,0394,None,None
19.4540,0540,0395,None,None
19.4559,0543,0397,None,None
19.4639,0549,0400,None,None
19.4660,0555,0403,None,None
19.4679,0556,0404,None,None
19.4761,0559,0405,None,None
19.4781,0560,0406,None,None
19.4860,0562,0407,None,None
19.4880,0563,0408,None,None
19.4961,0565,0408,None,None
19.5042,0568,0409,None,None
19.5068,0569,0409,None,None
19.5141,0571,0409,None,None
19.5226,0574,0409,None,None
19.5542,0575,0409,None,None
19.5701,0575,0407,None,None
19.5781,0575,0405,None,None
19.5862,0576,0402,None,None
19.5942,0576,0398,None,None
19.6021,0576,0393,None,None
19.6041,0576,0390,None,None
19.6120,0576,0387,None,None
19.6200,0576,0383,None,None
19.6281,0576,0378,None,None
19.6362,0576,0373,None,None
19.6382,0576,0372,None,None
19.6462,0576,0370,None,None
19.6541,0575,0368,None,None
19.6630,0574,0366,None,None
19.6710,0573,0363,None,None
19.6794,0572,0361,None,None
19.6872,0571,0360,None,None
19.6950,0570,0359,None,None
19.8071,0569,0359,None,None
19.8151,0568,0360,None,None
19.8230,0567,0361,None,None
19.8313,0566,0362,None,None
19.8390,0565,0364,None,None
19.8472,0564,0366,None,None
19.8552,0563,0368,None,None
19.8631,0562,0370,None,None
19.8711,0561,0372,None,None
19.8881,0560,0373,None,None
19.9041,0560,0374,None,None
19.9120,0560,0375,None,None
19.9202,0559,0376,None,None
19.9285,0558,0377,None,None
19.9443,0557,0378,None,None
19.9520,0556,0379,None,None
19.9601,0556,0380,None,None
20.2091,0556,0381,None,None
20.2170,0556,0383,None,None
20.2250,0556,0385,None,None
20.2331,0556,0389,None,None
20.2352,0556,0392,None,None
20.2432,0556,0396,None,None
20.2450,0556,0399,None,None
20.2532,0556,0403,None,None
20.2611,0556,0408,None,None
20.2630,0556,0412,None,None
20.2712,0556,0418,None,None
20.2734,0556,0423,None,None
20.2753,0556,0427,None,None
20.2833,0556,0431,None,None
20.2857,0557,0435,None,None
20.2932,0558,0441,None,None
20.2951,0558,0445,None,None
20.3037,0559,0449,None,None
20.3051,0560,0450,None,None
20.3132,0560,0452,None,None
20.3222,0561,0455,None,None
20.3240,0561,0458,None,None
20.3311,0562,0462,None,None
20.3353,0562,0463,None,None
20.3442,0563,0466,None,None
20.3461,0563,0467,None,None
20.3541,0563,0469,None,None
20.3622,0564,0471,None,None
20.3702,0565,0473,None,None
20.3781,0566,0475,None,None
20.3861,0567,0476,None,None
20.7962,0567,0478,None,None
20.8043,0567,0479,None,None
20.8121,0567,0480,None,None
20.8207,0567,0481,None,None
20.8281,0567,0484,None,None
20.8364,0569,0487,None,None
20.8441,0571,0490,None,None
20.8520,0573,0494,None,None
20.8540,0575,0497,None,None
20.8622,0577,0500,None,None
20.8702,0579,0503,None,None
20.8782,0582,0506,None,None
20.8861,0584,0510,None,None
20.8941,0586,0513,None,None
20.9022,0590,0515,None,None
20.9046,0591,0516,None,None
20.9122,0592,0517,None,None
20.9201,0593,0519,None,None
